region,displayName,isoCountryCode,regionCategory,instance,available,restriction_type,restriction_reason,sku_capacity,linux_price_hourly,spot_price_hourly,spot_discount_pct,currencyCode,unitOfMeasure
australiacentral,Australia Central,AU,Recommended,Standard_B4ms,unknown,,,,0.211,,,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_D4s_v3,unknown,,,,0.25,0.0462,81.5,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_E2s_v3,unknown,,,,0.16,0.029568,81.5,USD,1 Hour
australiacentral,Australia Central,AU,Recommended,Standard_F4s_v2,unknown,,,,0.222,0.034,84.7,USD,1 Hour
australiacentral2,Australia Central 2,AU,Recommended,Standard_B4ms,unknown,,,,0.211,,,USD,1 Hour
australiacentral2,Australia Central 2,AU,Recommended,Standard_D4s_v3,unknown,,,,0.25,0.025,90.0,USD,1 Hour
australiacentral2,Australia Central 2,AU,Recommended,Standard_E2s_v3,unknown,,,,0.16,0.016,90.0,USD,1 Hour
australiacentral2,Australia Central 2,AU,Recommended,Standard_F4s_v2,unknown,,,,0.222,0.0222,90.0,USD,1 Hour
australiaeast,Australia East,AU,Recommended,Standard_B4ms,unknown,,,,0.211,,,USD,1 Hour
australiaeast,Australia East,AU,Recommended,Standard_D4s_v3,unknown,,,,0.25,0.0462,81.5,USD,1 Hour
australiaeast,Australia East,AU,Recommended,Standard_E2s_v3,unknown,,,,0.16,0.029568,81.5,USD,1 Hour
australiaeast,Australia East,AU,Recommended,Standard_F4s_v2,unknown,,,,0.222,0.034,84.7,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_B4ms,unknown,,,,0.211,,,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_D4s_v3,unknown,,,,0.25,0.0462,81.5,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_E2s_v3,unknown,,,,0.16,0.029568,81.5,USD,1 Hour
australiasoutheast,Australia Southeast,AU,Recommended,Standard_F4s_v2,unknown,,,,0.223,0.034,84.8,USD,1 Hour
austriaeast,Austria East,AT,Recommended,Standard_B4ms,unknown,,,,0.192,,,USD,1 Hour
austriaeast,Austria East,AT,Recommended,Standard_D4s_v3,unknown,,,,,,,,
austriaeast,Austria East,AT,Recommended,Standard_E2s_v3,unknown,,,,,,,,
austriaeast,Austria East,AT,Recommended,Standard_F4s_v2,unknown,,,,0.194,0.035851,81.5,USD,1 Hour
belgiumcentral,Belgium Central,BE,Recommended,Standard_B4ms,unknown,,,,0.192,,,USD,1 Hour
belgiumcentral,Belgium Central,BE,Recommended,Standard_D4s_v3,unknown,,,,,,,,
belgiumcentral,Belgium Central,BE,Recommended,Standard_E2s_v3,unknown,,,,,,,,
belgiumcentral,Belgium Central,BE,Recommended,Standard_F4s_v2,unknown,,,,0.194,0.035851,81.5,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_B4ms,unknown,,,,0.269,,,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_D4s_v3,unknown,,,,0.318,0.055109,82.7,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_E2s_v3,unknown,,,,0.235,0.040726,82.7,USD,1 Hour
brazilsouth,Brazil South,BR,Recommended,Standard_F4s_v2,unknown,,,,0.262,0.034,87.0,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_B4ms,unknown,,,,0.349,,,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_D4s_v3,unknown,,,,0.413,0.076322,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_E2s_v3,unknown,,,,0.306,0.056549,81.5,USD,1 Hour
brazilsoutheast,Brazil Southeast,BR,Recommended,Standard_F4s_v2,unknown,,,,0.341,0.063017,81.5,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_B4ms,unknown,,,,0.185,,,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_D4s_v3,unknown,,,,0.222,0.079543,64.2,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_E2s_v3,unknown,,,,0.146,0.052312,64.2,USD,1 Hour
canadacentral,Canada Central,CA,Recommended,Standard_F4s_v2,unknown,,,,0.185,0.034,81.6,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_B4ms,unknown,,,,0.186,,,USD,1 Hour
canadaeast,Canada East,CA,Recommended,Standard_D4s_v3,unknown,,,,0.222,0.041026,81.5,USD,1 Hour
